_rank,_name,_score,Back,Background,Body,Glass,Hand,Hat,Legendary,Mouth,Neck,Prop,Shirt
288,Oppa Bear Evolution Gen.1 #1645,359.0822749579976,Skateboard Purple,Futuristic V.1,Brown,Star Yellow,Hand Soundabout V2,Bucket Green,,Playful,Scarf Green,Rose Yellow,Hoodie Purple
289,Oppa Bear Evolution Gen.1 #922,358.6867480253865,Guitar Yellow,Fraction Green,Grey,Detective Glass Blue,,Halo Green,,Playful,,Honey Yellow,Palm Shirt Green
290,Oppa Bear Evolution Gen.1 #350,358.66556697760416,Skateboard Purple,Rainbow Shade V.2,White,Rayban Brown,,Headphone Orange,,Playful,Bag Purple,Pizza Yellow,Sweater Red
291,Oppa Bear Evolution Gen.1 #415,358.632510459438,Guitar Yellow,Rainbow Wall Shade,Yellow,Rayban Green,,Small Hat Green,,Playful,Headphone Yellow,Honey Yellow,Rain Coat Pink
292,Oppa Bear Evolution Gen.1 #89,358.553942684693,Wing Blue,Spiral Purple,Blue,Color Lens V.3,,Bucket Green,,Smirk,,,Future Purple
293,Oppa Bear Evolution Gen.1 #704,358.54860258161483,Gun Pink,Rainbow Shade V1,Blue,Circle Blue,Hand Spray V2,Bear Hat Orange,,Angry Rainbow,Headphone Red,Pizza Blue,Gap Yellow
294,Oppa Bear Evolution Gen.1 #176,358.0516144439632,Gun Pink,Rainbow Shade V.3,Green,,,Hiphop Black,,Smirk,Headphone Pink,Lollipop Green,Sweater Red
295,Oppa Bear Evolution Gen.1 #1551,357.77447375351255,Guitar Yellow,Art Shade V.3,Purple,Rayban Brown,Hand Ice Cream V2,Mario Blue,,Smirk Rainbow,,Gum Red,King Yellow
296,Oppa Bear Evolution Gen.1 #258,357.56477754534524,,Shade Orange,Purple,Circle Green,Hand Donut V3,Bucket Purple,,Angry,,Parrot Red,Hoodie Oversize Green
297,Oppa Bear Evolution Gen.1 #191,357.1673435589643,Sword Black,Rainbow Shade V.2,White,Color Lens V.2,,Snow Orange,,Playful,,,Bib Black
298,Oppa Bear Evolution Gen.1 #1986,357.1157807433863,Basketball Pink,Futuristic V.2,Brown,Normal Green,Hand Soundabout V2,Baseball Green,,Smirk,,Rose Orange,Hoodie Blue
299,Oppa Bear Evolution Gen.1 #1656,356.8832440756952,Basketball Green,Circle Green,Yellow,Motorbike Glass Green,Hand Ice Cream V2,Ring Red,,Open Mouth,Bag Yellow,Honey Blue,Turtle Neck Green
300,Oppa Bear Evolution Gen.1 #921,356.8726414656777,Baseball Silver,Rainbow Shade V.1,Sky Blue,Circle Red,Hand Ice Cream V2,Snow Purple,,Smirk Rainbow,Bag Yellow,Lollipop Green,Gap Pink
301,Oppa Bear Evolution Gen.1 #351,356.8193685786808,Guitar Yellow,Fraction Pink,Yellow,Scuba Red,,Yo Hat Blue,,Angry,Scarf Red,Gum Yellow,Suit Black
302,Oppa Bear Evolution Gen.1 #447,356.71449191969043,Baseball Golden,Rainbow Shade V1,Yellow,Rayban Blue,,Cap Red,,Smirk Rainbow,Headphone Red,Honey Yellow,Suit Blue
303,Oppa Bear Evolution Gen.1 #1701,356.33089654017056,Guitar Yellow,Sunshine Pink,Pink,Normal Green,,Cowboy Small Purple,,Smirk,Scarf Green,Honey Blue,Turtle Neck Blue
304,Oppa Bear Evolution Gen.1 #629,356.2276202454092,Wing Blue,Futuristic V.3,Pink,,Hand Spray V1,Snow Blue,,Playful,Scarf Green,Pizza Yellow,Sweater Yellow
305,Oppa Bear Evolution Gen.1 #1511,355.9476143291524,Sword Purple,Wall Blue,Green,Normal Green,,Snow Orange,,Open Mouth,Scarf Red,Rose Yellow,Palm Shirt Purple
306,Oppa Bear Evolution Gen.1 #167,355.8652900140376,Gun Pink,Rainbow Shade V.1,White,Circle Red,,Halo Yellow,,Open Mouth,Bag Purple,Pizza Purple,Turtle Neck Green
307,Oppa Bear Evolution Gen.1 #760,355.77997209187436,Guitar Blue,Theme Blue,Green,Detective Glass Blue,,Smart Hat Purple,,Smirk,,Pizza Purple,Palm Shirt Purple
308,Oppa Bear Evolution Gen.1 #1070,355.64098222841767,Green Sword,Purple,Grey,Scuba Yellow,Hand Donut V1,Yo Hat Blue,,Angry Rainbow,,Honey Yellow,Basketball Shirt Red
309,Oppa Bear Evolution Gen.1 #1953,355.3090508528423,Baseball Golden,Rainbow Wink Dream,White,,,Cap Black,,Smirk Rainbow,,Rose Purple,Raincoat Purple
310,Oppa Bear Evolution Gen.1 #730,355.199829268926,,Circle Green,Purple,,,Smart Hat Purple,,Open Mouth,,Parrot Red,Suit Purple
311,Oppa Bear Evolution Gen.1 #1438,355.16957369963217,Baseball Green,Wave Bright,Pink,Heart Blue,Hand Ice Cream V1,Party Hat Blue,,Smirk,,Rose Yellow,Suit Blue
312,Oppa Bear Evolution Gen.1 #431,354.86890815331355,,Bubble Pink,Pink,Rayban Blue,Hand Soundabout Blue V1,Cowboy Small Purple,,Smile,Scarf Red,Lollipop Green,Basketball Shirt Yellow
313,Oppa Bear Evolution Gen.1 #85,354.49867063478337,,Rainbow Wall Shade,Pink,Star Blue,,Cap Red,,Smile,Bag Purple,Honey Blue,Hoodie Purple
314,Oppa Bear Evolution Gen.1 #1155,354.38863990131557,,Shade Blue,Blue,Star Yellow,,Yo Hat Blue,,Smile,,Gum Yellow,Gap Yellow
315,Oppa Bear Evolution Gen.1 #871,354.2983658160075,,Futuristic V.2,Grey,Detective Glass Purple,,King Crown Red,,Smile,Headphone Pink,Pizza Yellow,Gap Purple
316,Oppa Bear Evolution Gen.1 #403,353.92342619252213,Gun Green,Art Shade V.1,Grey,Normal Blue,,King Crown Purple,,Smirk Rainbow,Headphone Yellow,Lollipop Purple,Hoodie Mix White
317,Oppa Bear Evolution Gen.1 #725,353.7380915668399,Gun Pink,Theme Yellow,Yellow,,Hand Spray V3,Ring Yellow,,Open Mouth,Headphone Pink,Honey Yellow,Jacket Brown
318,Oppa Bear Evolution Gen.1 #307,353.57009712437184,Basketball Pink,Rainbow Wink Style,Grey,Detective Glass Blue,,Headphone Orange,,Playful,Bag Blue,Lollipop Blue,Hoodie Oversize Blue
319,Oppa Bear Evolution Gen.1 #708,353.47165428527313,,Rainbow Wall Light,Blue,Star Blue,,Cap Black,,Angry,Headphone Red,Rose Purple,Basketball Shirt Red
320,Oppa Bear Evolution Gen.1 #1475,353.39658773092424,Sword Black,Sunshine Yellow,Purple,Rayban Green,Hand Ice Cream V1,Halo Pink,,Smirk,,Rose Orange,Basketball Shirt Yellow
321,Oppa Bear Evolution Gen.1 #357,353.15683586402406,Basketball Orange,Rainbow Wall Dark,Green,Detective Glass Green,,Baseball Purple,,Smirk Rainbow,Bag Blue,Gum Blue,Bib Black
322,Oppa Bear Evolution Gen.1 #1373,353.0642472073681,Guitar Yellow,Shade Purple,Pink,,,Cap Black,,Angry,Scarf Yellow,Honey Yellow,Raincoat Purple
323,Oppa Bear Evolution Gen.1 #616,353.00668486703637,Guitar Blue,Sunshine Blue,Sky Blue,,,Halo Green,,Smirk,,Gum Blue,King Purple
324,Oppa Bear Evolution Gen.1 #1707,352.12934130919206,Guitar Blue,Green,Green,Detective Glass Blue,Hand Ice Cream V3,Small Hat Purple,,Smile,Headphone Yellow,Lollipop Blue,Basketball Shirt Red
325,Oppa Bear Evolution Gen.1 #586,352.08121047387425,Sword Black,Circle Purple,Pink,Rainbow Shade V.3,,Cap Red,,Smile,Scarf Green,Pizza Yellow,Bee Pink
326,Oppa Bear Evolution Gen.1 #687,352.05550684912794,Basketball Green,Pink,Yellow,Motor Bike Glass Orange,Hand Soundabout V2,Honey Jar Green,,Smile,,Honey Yellow,Basketball Shirt Yellow
327,Oppa Bear Evolution Gen.1 #295,352.0482606488807,Basketball Green,Rainbow Shade V.2,Yellow,Detective Glass Blue,,Hiphop Pink,,Smile,Headphone Yellow,Honey Yellow,Hoodie Pink
328,Oppa Bear Evolution Gen.1 #1163,351.8598031935494,Skateboard Green,Shade Orange,Yellow,Normal Green,,Mario Red,,Smile,Headphone Yellow,Gum Yellow,Sweater Yellow
329,Oppa Bear Evolution Gen.1 #412,351.8034226946132,Sword Purple,Sunshine Blue,Pink,,,Cap Black,,Playful,Scarf Green,,Hoodie Mix Yellow
330,Oppa Bear Evolution Gen.1 #157,351.7824414736384,Wing Blue,Wave Calm,Blue,Star Yellow,,,,Playful,Scarf Yellow,Gum Yellow,Hawaiian Blue
331,Oppa Bear Evolution Gen.1 #656,351.74318849994654,Gun Green,Rainbow Shade V.1,Yellow,,,Cowboy Small Purple,,Open Mouth,Headphone Green,Rose Orange,Hood Red
332,Oppa Bear Evolution Gen.1 #663,351.7276289842904,Skateboard Yellow,Sunshine Pink,Purple,Detective Glass Green,Hand Ice Cream V1,Small Hat Green,,Open Mouth,,,Future Yellow
333,Oppa Bear Evolution Gen.1 #632,351.4561901658676,Wing Red,Rainbow Shade V2,Green,Rayban Green,,Mario Yellow,,Smile,,,Suit Purple
334,Oppa Bear Evolution Gen.1 #1312,351.30539067342136,Green Sword,Rainbow Shade V.1,Sky Blue,Rainbow Shade V.2,Hand Ice Cream V2,Headphone Blue,,Smile,Scarf Yellow,Lollipop Purple,Jacket Green
335,Oppa Bear Evolution Gen.1 #1514,351.28940599767714,Guitar Blue,Futuristic V.1,Sky Blue,Scuba Red,,Bucket Green,,Smirk,Bag Purple,Parrot Red,Hoodie Oversize Blue
336,Oppa Bear Evolution Gen.1 #695,350.8567099657398,,Rainbow Shade V.3,Grey,Heart Green,Hand Soundabout Blue V1,Cowboy Big Brown,,Smile,,Lollipop Blue,Torn Shirt Black
337,Oppa Bear Evolution Gen.1 #1140,350.59766051095477,Gun Yellow,Fraction Pink,White,Normal Blue,,Fashion Hat Pink,,Open Mouth,,Pizza Blue,Rain Coat Green
338,Oppa Bear Evolution Gen.1 #1536,350.148032382923,Basketball Green,Futuristic V.3,Green,Color Lens V.1,,Cap Red,,Angry,Bag Purple,Rose Purple,Sweater Red
339,Oppa Bear Evolution Gen.1 #1591,349.993385306048,Baseball Green,Circle Red,Brown,Heart Green,Hand Spray V3,Smart Hat Purple,,Smile,,Rose Purple,Palm Shirt Purple
340,Oppa Bear Evolution Gen.1 #225,349.8888541444797,Green Sword,Fraction Green,Grey,,,Fashion Hat Blue,,Playful,Headphone Pink,Rose Purple,Jacket Pink
341,Oppa Bear Evolution Gen.1 #1965,349.85725058715076,Gun Pink,Futuristic V.2,Pink,Motorbike Glass Green,,Halo Green,,Playful,,Rose Yellow,Sweater Red
342,Oppa Bear Evolution Gen.1 #1626,349.57905537458544,Basketball Green,Rainbow Shade V3,Blue,,,Snow Orange,,Smirk,,Honey Blue,Gap Yellow
343,Oppa Bear Evolution Gen.1 #843,349.0002419464368,Guitar Yellow,Wall Yellow,Blue,Rayban Blue,Hand Donut V1,Baseball Green,,Smirk,,Honey Blue,Bib Purple
344,Oppa Bear Evolution Gen.1 #1184,348.60474689351395,,Fraction Green,Purple,Normal Blue,,Cowboy Big Brown,,Angry,Headphone Red,Rose Yellow,Future Purple
345,Oppa Bear Evolution Gen.1 #1501,348.5731012295465,Skateboard Purple,Rainbow Wink Dream,Yellow,Heart Red,,Smart Hat Black,,Smirk Rainbow,Scarf Yellow,Rose Yellow,Basketball Shirt Red
346,Oppa Bear Evolution Gen.1 #788,348.52230402138304,Basketball Pink,Spiral Blue,Green,Normal Green,Hand Ice Cream V2,HipHop Green,,Angry Rainbow,Scarf Red,,Jacket Green
347,Oppa Bear Evolution Gen.1 #1838,348.35662468677157,Baseball Golden,Green,Blue,,Hand Ice Cream V2,Party Hat Purple,,Angry,Headphone Red,Gum Yellow,Hoodie Mix Purple
348,Oppa Bear Evolution Gen.1 #1265,347.89666377264837,Guitar Blue,Rainbow Shade V2,Blue,Color Lens V.2,,Party Hat Purple,,Smile,,,Basketball Shirt Green
349,Oppa Bear Evolution Gen.1 #52,347.88434865549806,Basketball Green,Bubble Blue,Blue,Motorbike Glass Green,,Fashion Hat Blue,,Playful,Scarf Green,Parrot Red,Jacket Green
350,Oppa Bear Evolution Gen.1 #1900,347.65104982206816,Baseball Silver,Fraction Green,Grey,,Hand Ice Cream V2,Hiphop White,,Playful,,Honey Blue,Sweater Blue
351,Oppa Bear Evolution Gen.1 #1765,347.51823384377485,Basketball Green,Theme Yellow,Sky Blue,Color Lens V.1,,Halo Green,,Playful,,Gum Yellow,Bib Green
352,Oppa Bear Evolution Gen.1 #1783,347.49033279467164,,Rainbow Shade V3,Pink,Normal Yellow,,King Crown Purple,,Smirk Rainbow,,Rose Purple,Hoodie Oversize Pink
353,Oppa Bear Evolution Gen.1 #1779,347.4589536828633,Guitar Blue,Rainbow Shade V2,Green,Circle Red,,Cap Red,,Smirk Rainbow,Scarf Green,Lollipop Purple,Hawaiian Red
354,Oppa Bear Evolution Gen.1 #1232,347.4059860211544,,Sunshine Blue,Yellow,Scuba Yellow,Hand Soundabout V2,Small Hat Yellow,,Angry,Bag Blue,Rose Yellow,Basketball Shirt Yellow
355,Oppa Bear Evolution Gen.1 #615,347.38940716605526,Guitar Pink,Red,Grey,Normal Blue,,Snow Orange,,Angry Rainbow,Headphone Pink,Rose Purple,Bee Green
356,Oppa Bear Evolution Gen.1 #493,347.31821380226694,Gun Pink,Bubble Blue,Blue,Color Lens V.1,,Bear Hat Pink,,Angry,,Lollipop Purple,Hawaiian Blue
357,Oppa Bear Evolution Gen.1 #1708,347.27926090527853,Gun Green,Art Shade V.3,Yellow,Rainbow Shade V.2,,Snow Orange,,Angry Rainbow,,Gum Blue,Bee Pink
358,Oppa Bear Evolution Gen.1 #1228,346.9451979186241,Sword Black,Wave Clear,Purple,,Hand Donut V3,Bucket Black,,Angry Rainbow,Scarf Yellow,,Future Blue
359,Oppa Bear Evolution Gen.1 #1532,346.93270561546217,Baseball Green,Rainbow Shade V3,Brown,Circle Red,,Ring Red,,Smirk Rainbow,Headphone Green,Rose Yellow,Hoodie Blue
360,Oppa Bear Evolution Gen.1 #1224,346.7605418310614,Wing Red,Bubble Pink,Yellow,Matrix Black,,Yo Hat Pink,,Angry,,Rose Orange,Raincoat Purple
361,Oppa Bear Evolution Gen.1 #1556,346.7027036433552,Basketball Pink,Shade Orange,Pink,Star Pink,Hand Spray V3,Ring Purple,,Playful,Headphone Green,Lollipop Green,Basketball Shirt Green
362,Oppa Bear Evolution Gen.1 #1841,346.6910674114989,Skateboard Purple,Fraction Green,Yellow,Normal Green,,Cowboy Big Purple,,Angry,,,Hood Yellow
363,Oppa Bear Evolution Gen.1 #13,346.5352283749805,Baseball Golden,Orange,Blue,,Hand Ice Cream V3,Bear Hat Pink,,Angry Rainbow,Bag Blue,Rose Yellow,Hoodie Oversize Blue
364,Oppa Bear Evolution Gen.1 #1885,346.5181620844373,Baseball Green,Wall Yellow,Yellow,Heart Blue,,Smart Hat Blue,,Smirk,,Lollipop Purple,Hood Yellow
365,Oppa Bear Evolution Gen.1 #1158,346.40162057542847,Basketball Pink,Art Shade V.2,White,Rainbow Shade V.3,,Fashion Hat Pink,,Smirk,,Rose Purple,Hawaiian Red
366,Oppa Bear Evolution Gen.1 #1377,346.3845672365201,Green Sword,Shade Blue,Yellow,Motor Bike Glass Orange,,Cowboy Big Brown,,Playful,,Rose Orange,Hoodie Oversize Green
367,Oppa Bear Evolution Gen.1 #1998,346.3673728112928,Guitar Pink,Rainbow Wall Shade,Green,Circle Green,,Ring Yellow,,Smirk,,Gum Yellow,Palm Shirt Purple
368,Oppa Bear Evolution Gen.1 #784,346.25331438367533,Skateboard Purple,Theme Orange,Pink,Normal Yellow,,Bear Hat Green,,Playful,Bag Blue,Pizza Purple,Palm Shirt Red
369,Oppa Bear Evolution Gen.1 #1365,346.17571966425766,Guitar Pink,Circle Red,Sky Blue,Heart Green,Hand Ice Cream V3,Fashion Hat Blue,,Smirk Rainbow,,Gum Red,Sweater Red
370,Oppa Bear Evolution Gen.1 #1577,346.03175979164956,Skateboard Yellow,Theme Blue,Purple,Motor Bike Glass Orange,,Cowboy Small Green,,Open Mouth,Scarf Yellow,Honey Purple,Bib Green
371,Oppa Bear Evolution Gen.1 #1017,345.7907817377547,Skateboard Green,Wall Blue,Green,Heart Red,,Party Hat Blue,,Playful,,Honey Yellow,King Purple
372,Oppa Bear Evolution Gen.1 #651,345.50709295568186,,Rainbow Wall Shade,White,Circle Red,,Bucket Purple,,Smile,,Pizza Purple,Suit Purple
373,Oppa Bear Evolution Gen.1 #1344,345.42481226433694,Sword Black,Shade Blue,Green,Normal Blue,,Honey Jar Yellow,,Angry,Scarf Red,Gum Red,Future Purple
374,Oppa Bear Evolution Gen.1 #337,345.41297948388717,Sword Black,Rainbow Wink Dream,Blue,Star Pink,,Snow Orange,,Playful,,Parrot Yellow,Hawaiian Yellow
375,Oppa Bear Evolution Gen.1 #245,345.251170941558,Guitar Yellow,Theme Orange,Grey,Rainbow Shade V.2,,Cowboy Small Black,,Open Mouth,,Pizza Blue,Rain Coat Green
376,Oppa Bear Evolution Gen.1 #1178,344.8101517787265,Gun Green,Sunshine Pink,Grey,Motorbike Glass Pink,Hand Spray V2,Snow Blue,,Smile,Bag Yellow,Parrot Yellow,Turtle Neck Green
377,Oppa Bear Evolution Gen.1 #814,344.78262425542545,Baseball Silver,Wave Calm,Sky Blue,Circle Blue,,Halo Pink,,Playful,Scarf Red,Lollipop Blue,Sweater Red
378,Oppa Bear Evolution Gen.1 #1737,344.7083578366851,Gun Green,Purple,Blue,Heart Green,Hand Soundabout V3,Halo Yellow,,Open Mouth,Scarf Yellow,Pizza Blue,Turtle Neck Blue
379,Oppa Bear Evolution Gen.1 #1727,344.6639711352212,Guitar Blue,Spiral Blue,Brown,Heart Red,Hand Spray V1,Headphone Blue,,Smile,,Lollipop Blue,Palm Shirt Red
380,Oppa Bear Evolution Gen.1 #1809,344.6608862106476,Sword Black,Theme Purple,Grey,,Hand Donut V3,Yo Hat Yellow,,Smirk,Headphone Red,Parrot Red,Rain Coat Yellow
381,Oppa Bear Evolution Gen.1 #1670,344.6037084983276,Gun Yellow,Wave Clear,Green,Rainbow Shade V.1,,Hiphop Black,,Smile,Bag Yellow,,Hoodie Mix Yellow
382,Oppa Bear Evolution Gen.1 #1633,344.3863633369602,,Fraction Pink,Grey,Color Lens V.3,Hand Ice Cream V3,HipHop Purple,,Playful,Scarf Green,Parrot Yellow,Suit Blue
383,Oppa Bear Evolution Gen.1 #355,344.20056578746414,Sword Purple,Circle Purple,White,Star Pink,Hand Soundabout V3,Hiphop Pink,,Open Mouth,Headphone Green,Lollipop Blue,Jacket Brown
384,Oppa Bear Evolution Gen.1 #1635,343.9857537922223,,Rainbow Shade V1,Yellow,Rayban Blue,,Fashion Hat Pink,,Smile,Headphone Pink,Lollipop Purple,Jacket Green
385,Oppa Bear Evolution Gen.1 #1787,343.8169398154744,Gun Yellow,Yellow,Blue,Detective Glass Green,Hand Ice Cream V3,Halo Pink,,Smirk Rainbow,Scarf Green,,Hoodie Pink
386,Oppa Bear Evolution Gen.1 #981,343.5981472454524,Baseball Golden,Art Shade V.2,Purple,Scuba Red,,King Crown Blue,,Smirk,Headphone Green,Lollipop Green,Gap Pink
387,Oppa Bear Evolution Gen.1 #1109,343.5395041312516,Basketball Green,Circle Green,Purple,Circle Red,Hand Donut V1,Bear Hat Orange,,Smirk,Headphone Yellow,Rose Orange,Bee Pink
388,Oppa Bear Evolution Gen.1 #1884,343.5006078657987,Skateboard Yellow,Purple,Pink,Rayban Green,,King Crown Blue,,Playful,Bag Blue,Lollipop Purple,Hawaiian Blue
389,Oppa Bear Evolution Gen.1 #1819,343.2979153654075,Skateboard Yellow,Shade Orange,Yellow,Star Yellow,Hand Soundabout Blue V1,Party Hat Blue,,Smile,Bag Blue,Lollipop Green,Raincoat Orange
390,Oppa Bear Evolution Gen.1 #954,343.21552572874316,,Bubble Blue,Grey,,Hand Donut V3,Mario Blue,,Open Mouth,Scarf Yellow,Pizza Purple,King Yellow
391,Oppa Bear Evolution Gen.1 #1506,342.99180187025405,Baseball Green,Shade Orange,Pink,Rainbow Shade V.1,Hand Donut V2,Fashion Hat Blue,,Open Mouth,Scarf Red,Honey Blue,King Red
392,Oppa Bear Evolution Gen.1 #678,342.74929881824437,Wing Blue,Purple,Brown,Heart Red,Hand Donut V2,Snow Blue,,Playful,,Gum Blue,Torn Shirt Green
393,Oppa Bear Evolution Gen.1 #1026,342.6806351428969,Baseball Green,Rainbow Wall Shade,Brown,Circle Blue,Hand Ice Cream V2,Baseball White,,Smirk Rainbow,,Honey Yellow,Hoodie Mix White
394,Oppa Bear Evolution Gen.1 #823,342.5046387879739,,Spiral Purple,Brown,Heart Green,Hand Donut V2,Party Hat Blue,,Smirk Rainbow,,Parrot Yellow,Turtle Neck Green
395,Oppa Bear Evolution Gen.1 #1115,342.5045040553134,Skateboard Yellow,Theme Purple,Brown,Rainbow Shade V.2,,Yo Hat Pink,,Smile,,Parrot Red,King Yellow
396,Oppa Bear Evolution Gen.1 #1671,342.39936521212576,Skateboard Green,Rainbow Shade V.2,White,Normal Blue,Hand Ice Cream V3,Mario Blue,,Playful,,Rose Purple,Palm Shirt Purple
397,Oppa Bear Evolution Gen.1 #99,342.16266973513376,Guitar Pink,Art Shade V.1,Brown,Matrix Black,,Mario Yellow,,Angry,Bag Purple,Rose Orange,Hawaiian Red
398,Oppa Bear Evolution Gen.1 #41,341.7556888507671,,Rainbow Wall Shade,Yellow,,Hand Donut V1,Mario Red,,Angry Rainbow,Headphone Green,,Hoodie Purple
399,Oppa Bear Evolution Gen.1 #209,341.596740864128,,Theme Green,Sky Blue,Normal Green,Hand Spray V2,Honey Jar Purple,,Smile,,Rose Orange,Jacket Pink
400,Oppa Bear Evolution Gen.1 #1164,341.55096735664614,Skateboard Purple,Sunshine Yellow,Grey,Color Lens V.3,,Bucket Green,,Open Mouth,Headphone Pink,,Future Purple
401,Oppa Bear Evolution Gen.1 #908,341.3930146353159,Basketball Pink,Fraction Pink,Yellow,Circle Red,,King Crown Blue,,Open Mouth,Bag Blue,Honey Purple,Jacket Brown
402,Oppa Bear Evolution Gen.1 #522,341.3548351154668,,Rainbow Wall Light,Yellow,Matrix Black,,Smart Hat Purple,,Open Mouth,Scarf Red,Rose Orange,Hoodie Pink
403,Oppa Bear Evolution Gen.1 #155,340.95694820660833,Gun Yellow,Shade Blue,Blue,,,Bear Hat Pink,,Angry Rainbow,Scarf Green,Honey Yellow,Bee Yellow
404,Oppa Bear Evolution Gen.1 #1829,340.79028479881885,Guitar Blue,Theme Yellow,Yellow,Color Lens V.2,,Bucket Black,,Smile,Scarf Red,Parrot Yellow,Hoodie Oversize Blue
405,Oppa Bear Evolution Gen.1 #665,340.42837260316486,Basketball Orange,Rainbow Wink Style,Blue,Rainbow Shade V.3,Hand Donut V2,Bear Hat Orange,,Smirk,,Rose Purple,Turtle Neck Green
406,Oppa Bear Evolution Gen.1 #1219,340.1460247118743,Baseball Silver,Rainbow Shade V.1,Green,Rayban Green,,Fashion Hat Yellow,,Smirk,Headphone Green,,Palm Shirt Purple
407,Oppa Bear Evolution Gen.1 #406,340.1213066996809,,Spiral Orange,Yellow,,Hand Spray V3,Hiphop Black,,Smirk,Headphone Red,Rose Purple,Hawaiian Yellow
408,Oppa Bear Evolution Gen.1 #742,340.0222477524909,Basketball Orange,Theme Orange,Sky Blue,Matrix Black,,Mario Yellow,,Angry,Headphone Red,Gum Blue,Rain Coat Pink
409,Oppa Bear Evolution Gen.1 #1186,339.93280110047107,Basketball Pink,Art Shade V.3,Blue,Circle Blue,Hand Ice Cream V1,Smart Hat Blue,,Smirk,Scarf Yellow,Honey Blue,Raincoat Orange
410,Oppa Bear Evolution Gen.1 #1160,339.5308820286034,Baseball Silver,Spiral Blue,Pink,Color Lens V.1,,Honey Jar Yellow,,Smirk,Scarf Yellow,Honey Blue,Gap Purple
411,Oppa Bear Evolution Gen.1 #160,339.5265304477144,,Futuristic V.2,Green,Circle Green,,King Crown Purple,,Angry Rainbow,,Pizza Blue,Hoodie Mix Purple
412,Oppa Bear Evolution Gen.1 #1640,339.38555664347564,Guitar Yellow,Fraction Pink,Sky Blue,Color Lens V.1,Hand Donut V1,HipHop Yellow,,Angry Rainbow,Headphone Red,Rose Yellow,Turtle Neck Green
413,Oppa Bear Evolution Gen.1 #1563,339.2702751894684,Skateboard Yellow,Art Shade V.1,White,Circle Red,Hand Donut V3,Fashion Hat Yellow,,Playful,Headphone Yellow,Pizza Purple,Raincoat Red
414,Oppa Bear Evolution Gen.1 #1700,339.2369963890163,Wing Red,Rainbow Wink Dream,Green,Scuba Red,Hand Donut V3,Cowboy Big Purple,,Playful,,Lollipop Purple,Suit Black
415,Oppa Bear Evolution Gen.1 #1229,339.105562903689,,Spiral Blue,White,Matrix Black,,Baseball White,,Smirk,Bag Blue,Gum Yellow,Jacket Brown
416,Oppa Bear Evolution Gen.1 #1677,339.07455217021845,Gun Yellow,Sunshine Blue,Green,Rainbow Shade V.1,,Headphone Orange,,Smile,,Honey Blue,Gap Purple
417,Oppa Bear Evolution Gen.1 #743,338.9375258593919,Basketball Green,Rainbow Wall Shade,Purple,Rayban Brown,,Party Hat Red,,Angry,Headphone Green,Gum Yellow,Hood Red
418,Oppa Bear Evolution Gen.1 #1768,338.8593946533624,Skateboard Purple,Blue,White,Star Pink,Hand Ice Cream V1,Hiphop Pink,,Smile,Scarf Yellow,Pizza Yellow,Hawaiian Red
419,Oppa Bear Evolution Gen.1 #846,338.8423052444241,Basketball Orange,Shade Purple,Purple,Circle Red,,Cowboy Small Black,,Smile,,Gum Blue,Hoodie Oversize Pink
420,Oppa Bear Evolution Gen.1 #490,338.6721560690949,Wing Red,Theme Orange,Yellow,Heart Blue,,Smart Hat Blue,,Smirk,Bag Blue,,Future Yellow
421,Oppa Bear Evolution Gen.1 #316,338.3648411857214,Sword Purple,Circle Purple,Pink,Normal Blue,Hand Donut V3,Mario Yellow,,Smirk,Scarf Red,Lollipop Purple,Bib Green
422,Oppa Bear Evolution Gen.1 #16,338.115117764689,Basketball Orange,Shade Purple,Grey,Color Lens V.3,,Honey Jar Green,,Smirk,Headphone Yellow,Lollipop Purple,Basketball Shirt Green
423,Oppa Bear Evolution Gen.1 #1997,338.1031669260415,Wing Yellow,Circle Purple,Grey,,,Mario Yellow,,Angry,Headphone Red,Gum Blue,Hoodie Oversize Green
424,Oppa Bear Evolution Gen.1 #1055,337.8761416860717,Baseball Golden,Rainbow Wink Dream,Blue,Motorbike Glass Pink,,Ring Yellow,,Playful,,Gum Blue,Future Purple
425,Oppa Bear Evolution Gen.1 #1693,337.8221449381075,Gun Yellow,Circle Purple,Brown,Color Lens V.3,,Headphone Blue,,Angry,,Lollipop Green,King Yellow
426,Oppa Bear Evolution Gen.1 #1029,337.52904834034314,Wing Blue,Shade Purple,White,,,Party Hat Blue,,Smirk,Scarf Green,Rose Purple,Future Yellow
427,Oppa Bear Evolution Gen.1 #540,337.52848720343627,Green Sword,Theme Yellow,Purple,Rayban Brown,,Smart Hat Purple,,Playful,Bag Blue,Pizza Purple,Bee Pink
428,Oppa Bear Evolution Gen.1 #671,337.4976706537168,Baseball Green,Art Shade V.2,Grey,Color Lens V.2,Hand Spray V1,Party Hat Red,,Smirk,Bag Yellow,Pizza Yellow,Sweater Yellow
429,Oppa Bear Evolution Gen.1 #1108,337.4952221130667,Gun Yellow,Futuristic V.2,Purple,Normal Yellow,,Bear Hat Pink,,Smirk,,,Sweater Yellow
430,Oppa Bear Evolution Gen.1 #645,337.48814011122465,Basketball Green,Circle Purple,Purple,Motorbike Glass Green,Hand Soundabout V2,Hiphop Black,,Angry,,,Palm Shirt Red
