_rank,_name,_score,Back,Background,Body,Ear,Eye,Glasses,Head,Left Chest,Mouth,Necklace,Outfit,Props,Right Chest,Shoulder
1021,Oppa Bear Evolution Gen.2 #705,1796.373725238256,ThunderYellow,PunkRed,Rainbow Rare,TurtleLightGreen,EyesRed,,StylishHairGreen,CloudBlue,NormalBlue,HeartYellow,ScotPink,MoonGreen,GhostBlue,
1025,Oppa Bear Evolution Gen.2 #307,1795.698342229974,RingPurple,SmokePurple,Rainbow Rare,DollPetPurple,EyesPink,ScubaRed,CapCute Blue,BombPurple,Scary,,SuitPink,,,OppaGreen
1029,Oppa Bear Evolution Gen.2 #781,1794.0806609979836,CupBrown,BurnOrange,Rainbow Rare,BroochPurple,EyesGreen,GreenPurple,,SoulBlue,HappyBrown,StarChainGreen,MarioBlue,,,ShieldTagPurple
1033,Oppa Bear Evolution Gen.2 #814,1792.7332517648836,ThunderYellow,StarPurple,Rainbow Rare,RingPink V2,EyesPink,RadarYellow,CapBlue,TopRed,Scary,RainBow,WinterWearPurple,WhiskerRed,,
1036,Oppa Bear Evolution Gen.2 #398,1791.9452683904442,RocketPink,BurnOrange,Rainbow Rare,RingLightGreen,EyesRed,,HelicopterPurple,HeartRed,Scary,,MarioRed,BrightRed,,WingPink
1040,Oppa Bear Evolution Gen.2 #549,1791.3304351949657,ThunderBlue,DropYellow,Rainbow Rare,RingsYellow,EyesRed,StarBlue,,RadiantPink,NormalBlue,SoulChainBlue,MarioYellow,,AvengersPink,
1044,Oppa Bear Evolution Gen.2 #53,1791.1198973464302,RocketPurple,VenomGreen,Rainbow Rare,StarRingYellow,EyesGreen,,ClownPink,BearPink,NormalGreen,RibbonGreen,SuitRed,,,BearBlue
1048,Oppa Bear Evolution Gen.2 #5,1790.1427748108422,BagYellow,MixPurple,Rainbow Rare,SmokeYellow,EyesRed,StarBlue,,LollipopYellow,SurprisedGreen,DoraemonRed,TuxedoPurple,,,RabbitPurple
1052,Oppa Bear Evolution Gen.2 #270,1789.7231837952756,,StarGreen,Rainbow Rare,SmokeYellow,EyesRed,,,ButterflyBlue,SurprisedGreen,ChainRed,SpaceShiftPurple,StarRed,MicGreen,LipYellow
1056,Oppa Bear Evolution Gen.2 #702,1789.4393234709553,SignRed,ShadePink,Rainbow Rare,RingYellow V2,EyesPink,,,HeartPink,NormalGreen,,PirateKingYellow,MoustacheBrown,TagOrange,FirePurple
1060,Oppa Bear Evolution Gen.2 #795,1789.126916291906,RadioYellow,BurnPink,Rainbow Rare,DollPetRed,EyesRed,RedBlue V2,,OPPurple,NormalGreen,,MarioBlue,SnotGreen,HeadBonePink,FacePink
1064,Oppa Bear Evolution Gen.2 #495,1788.8179915603578,ParrotPink,CircleGreen,Rainbow Rare,AirHeadGreen,EyesRed,,,MoonYellow,HappyGreen,TuxedoPink,SuitPurple V2,,StarLight,AvengersYellow
1068,Oppa Bear Evolution Gen.2 #854,1787.4907414359172,WingBlue,ThunderBlue,Rainbow Rare,AirHeadGreen,EyesRed,BurnBlue,,PooPink,ExcitedBlack,,TuxedoPurple,,RocketYellow,
1072,Oppa Bear Evolution Gen.2 #806,1786.4754190177414,,BoomBlue,Rainbow Rare,,EyesGreen,HeartBlue,SantaRed,ConeTone,Lovely,Bitcoin,MarioBlue,SnotBlue,StarLight,Bomberman
1075,Oppa Bear Evolution Gen.2 #44,1786.0725960963198,LookGreen,HeartPurple,Rainbow Rare,HornBlue,EyesGreen,RadarBlue,,BirdYellow,HappyGreen,HeartYellow,UniformDressOrange,,CatBroochBrown,OppaYellow
1079,Oppa Bear Evolution Gen.2 #647,1784.416051535918,BacktroopYellow,StarRed,Rainbow Rare,RingBlack,EyesPink,RedBlue V2,BandYellow,CanPurple,Lovely,,UniformBlue,,Button,
1083,Oppa Bear Evolution Gen.2 #93,1783.6742552058868,CannonRed,SmokePurple,Rainbow Rare,EarPhoneYellow,EyesPink,,ClayBlue,LittleGhost,ExcitedPink,,JacketBlue,JellyGreen,,FireOrange
1087,Oppa Bear Evolution Gen.2 #167,1783.0853950348198,TagBlue,SmokeGreen,Rainbow Rare,DollPetGreen,EyesGreen,EyePatch,,RazorGunOrange,SurprisedGreen,,SuitPink,Stitches,CryHeartPink,OppaPink
1091,Oppa Bear Evolution Gen.2 #640,1782.9960588452593,ThunderPink,ThunderPink,Rainbow Rare,HeadPhoneGreen,EyesRed,,,MoonGreen,NormalGreen,TieGreen,TuxedoGreen,StarYellow,HeadBoneBlue,StarPurple
1095,Oppa Bear Evolution Gen.2 #7,1781.9246607143568,ThunderPink,StarGreen,Rainbow Rare,,EyesPink,,BandYellow,BombYellow,Lovely,,SteamPunkPurple,CatFootPurple,MonsterEyePink,FirePurple
1099,Oppa Bear Evolution Gen.2 #57,1781.5449030765349,WingBlue,FuturisticBlue,Rainbow Rare,DoubleRingRed,EyesPink,,HiphopYellow V2,IceCreamPurple,Scary,,UniformBlue,Cross,MicYellow,SmileYellow V2
1103,Oppa Bear Evolution Gen.2 #981,1778.6645676097432,LookGreen,CircleGreen,Rainbow Rare,JapanTagBlue,EyesRed,,,ConeMix,NormalPurple,,UniformBlue,RazorBeardYellow,GhostPurple,OppaGreen
1107,Oppa Bear Evolution Gen.2 #405,1778.3434748751065,BacktroopBlue,BurnOrange,Rainbow Rare,RingPurple,EyesPink,PinkBlue V2,,CaptainGreen,NormalGreen,DiamondRed,SteamPunkRed,MoonPurple,,ShieldRed
1111,Oppa Bear Evolution Gen.2 #679,1776.3112618740847,SunflowerPurple,StarLightYellow,Rainbow Rare,EarsPurple,EyesRed,SquareYellow,HeadBandPink,LollipopYellow,Upset,,UniformDressPurple,OppaPlaster,SunflowerRed,
1115,Oppa Bear Evolution Gen.2 #839,1775.8921548373305,,BoomRed,Rainbow Rare,SmokeBlue,EyesRed,StarYellow,ClayYellow,SoulBlue,SurprisedPurple,,RobotRed,,,AvengersPink
1118,Oppa Bear Evolution Gen.2 #206,1775.095643822177,RadioYellow,ShadeGreen,Rainbow Rare,KeyOrange,EyesGreen,,HeadBandPink,ButterflyPink,Scary,,SuitPink,StarYellow V2,BananaGreen,FacePink
1122,Oppa Bear Evolution Gen.2 #474,1774.3983930442812,WingOrange,CircleGreen,Rainbow Rare,PlasterGreen,EyesGreen,,,OPOrange,NormalBlue,DoubleChainPurple,WinterWearYellow,MoonBlue,,AvengersOrange
1126,Oppa Bear Evolution Gen.2 #730,1773.1616754161985,BulbPurple,CircleYellow,Rainbow Rare,RingsPurple,EyesPink,AngryRed,PunkBlue,MarsBrown,SurprisedGreen,Bitcoin,AstronautGreen,,,
1130,Oppa Bear Evolution Gen.2 #505,1769.7886178514407,BacktroopRed,PunkYellow,Rainbow Rare,,EyesRed,GreenPurple,,RadiantYellow,Upset,TiePurple,SpaceShiftGreen,MoustachePurple,,LipRed
1134,Oppa Bear Evolution Gen.2 #503,1767.3433638749955,BombPurple,TonePurple,Rainbow Rare,,EyesPink,AngryPurple,CapPink,ButterflyPink,Lovely,HeartYellow,WinterWearYellow,,,SmileBlue
1138,Oppa Bear Evolution Gen.2 #544,1765.8934249250567,MusicPurple,BoomBlue,Rainbow Rare,,EyesPink,SquareYellow,SantaRed,StarButtonYellow,Scary,SoulChainGreen,PirateKingYellow,SweatGreen,,StarPurple
1142,Oppa Bear Evolution Gen.2 #655,1762.4972840289156,,ShadePink,Rainbow Rare,SmokeYellow,EyesPink,ScubaPurple,,SprayPurple,Lovely,,UniformBlue,MoonBlue,AvengersOrange,
1146,Oppa Bear Evolution Gen.2 #958,1761.1708916733535,,StarLightYellow,Rainbow Rare,RingLightGreen,EyesRed,SleepPurple,MarioCapBlue,MarsBrown,NormalBlue,,HoodieYellow,,TagPurple,SprayGreen
1150,Oppa Bear Evolution Gen.2 #996,1758.1644576978688,BackpackRed,ToneBlue,Rainbow Rare,,EyesRed,GreenThug,HiphopRed,MushroomYellow,SurprisedPurple,,AstronautGreen,Scar,BananaGreen,HappySoulPurple
1154,Oppa Bear Evolution Gen.2 #249,1756.270024996558,CameraGreen,BurnBlue,Rainbow Rare,PaintGreen,EyesGreen,BurnOrange,HelicopterRed,CanGreen,ExcitedBlack,SoulChainYellow,WearPurple,,BroochBlue,
1157,Oppa Bear Evolution Gen.2 #566,1755.836602835254,SickleBlue,CirclePurple,Rainbow Rare,DoubleRingYellow,EyesPink,AngryRed,CapBlue,ButterflyPink,HappyGreen,,SteamPunkPurple,,CryHeartOrange,BearGreen
1161,Oppa Bear Evolution Gen.2 #812,1754.8996918491164,QuestionGreen,PunkGreen,Rainbow Rare,IronMaskOrange,EyesGreen,RedBlue,,OPOrange,SurprisedGreen,SoulChainBlue,SteamPunkBlue,,HeadBonePink,MilkYellow
1165,Oppa Bear Evolution Gen.2 #178,1754.4139768756543,SkateboardPurple,HeartBlue,Rainbow Rare,KeyYellow,EyesGreen,AngryRed,,ButterflyBlue,NormalBlue,HeartRed,TuxedoBlue,,,FrogDarkGreen
1169,Oppa Bear Evolution Gen.2 #987,1753.3988718345279,ThunderPink,FuturisticRed,Rainbow Rare,JapanTagRed,EyesPink,,CapBlue,BlinkRed,SurprisedPurple,RibbonGreen,SpaceShiftGreen,,BearYellow,
1173,Oppa Bear Evolution Gen.2 #466,1752.6418757046986,,SmokePurple,Rainbow Rare,BoneRing,EyesRed,,ClownGreen,GhostPurple,Upset,RibbonGreen,JacketBlue,BeardGreen,,BearBlue
1177,Oppa Bear Evolution Gen.2 #50,1751.5428893870696,CannonBlue,BoomRed,Rainbow Rare,RingYellow,EyesGreen,BeamRed,CapCute Pink,TopRed,Upset,,AstronautBluishGreen,,BearPurple,
1181,Oppa Bear Evolution Gen.2 #439,1749.4110184426502,DollarBlue,CirclePurple,Rainbow Rare,PaintGreen,EyesPink,StarPink,HeadBandPink,TopPink,NormalPurple,,AstronautPurple,MoonBlue,,HappySoulPurple
1185,Oppa Bear Evolution Gen.2 #210,1745.485281009404,,SmokeRed,Rainbow Rare,,EyesRed,,CapPurple,MarsGreen,HappyPurple,TiePurple,SteamPunkBlue,JellyPurple,BananaGreen,OppaGreen
1189,Oppa Bear Evolution Gen.2 #242,1745.335345640826,CannonBlue,ThunderBlue,Rainbow Rare,EarringsYellow,EyesGreen,BeamGreen,HelicopterPurple,StarButtonBlue,HappyPurple,,SteamPunkBlue,Shy,,SmileBlue
1193,Oppa Bear Evolution Gen.2 #66,1744.5135334587096,,GrainYellow,Rainbow Rare,CherryRed,EyesRed,ScubaRed,StylishHairPink,CanGreen,NormalPurple,StarChainGreen,PirateKingRed,,SakuraYellow,
1196,Oppa Bear Evolution Gen.2 #468,1744.2817103520229,TagYellow,DropPurple,Rainbow Rare,HeartYellow,EyesPink,,CapBlue,ButterflyBlue,SurprisedGreen,,RobotRed,JellyPink,,SprayRed
1200,Oppa Bear Evolution Gen.2 #553,1740.9686968753285,DollarBlue,GrainGreen,Rainbow Rare,AirHeadYellow,EyesPink,PinkBlue V2,BandRed,BlinkOrange,HappyBrown,DoubleChainPurple,WinterWearGreen,,,
1204,Oppa Bear Evolution Gen.2 #301,1740.8521947973707,CannonBlue,VenomPurple,Rainbow Rare,,EyesRed,YellowPurple V2,HelicopterBlue,TopPink,NormalPurple,,SteamPunkRed,NoseRingYellow,,
1208,Oppa Bear Evolution Gen.2 #88,1740.4633316898648,,GrainYellow,Rainbow Rare,RingYellow,EyesGreen,,HairBlue V2,OPPink,NormalPurple,,WearPurple,CatFootYellow,BananaGreen,
1212,Oppa Bear Evolution Gen.2 #324,1739.8744877219085,DollarBlue,BurnPink,Rainbow Rare,,EyesPink,,CapPink,OPPurple,SurprisedPurple,SoulChainBlue,SuitPink,,,StarGreen
1216,Oppa Bear Evolution Gen.2 #890,1739.7233136743,CupGreen,TonePurple,Rainbow Rare,DollPetGreen,EyesPink,RazorRed,,PooPink,NormalBlue,,UniformBrown,JellyPurple,GameoverPurple,
1220,Oppa Bear Evolution Gen.2 #924,1739.683555910089,BulbPurple,MixGreen,Rainbow Rare,,EyesGreen,WingPurple,,LipBlue,ExcitedPink,RibbonRed,SuitPurple V2,JellyPurple,RocketRed,
1224,Oppa Bear Evolution Gen.2 #389,1738.6776174041509,WingBlue,CircleGreen,Rainbow Rare,HeartYellow,EyesGreen,,,NinjaOrange,Lovely,ChainBlue,ScottBlue,RazorBeardGreen,RoundRed,
1228,Oppa Bear Evolution Gen.2 #58,1737.9722308366954,ParrotPurple,BurnBlue,Rainbow Rare,HeartYellow,EyesGreen,EyePatch,TopYellow,RadiantPink,ExcitedPink,StarChainRed,HoodieYellow,,,Plug
1232,Oppa Bear Evolution Gen.2 #55,1737.5946090455957,,CirclePurple,Rainbow Rare,,EyesPink,,TurbineBlue,TopRed,NormalBlue,ScarfYellow,DressPurple,CatFootPink,HeadBoneBlue,
1236,Oppa Bear Evolution Gen.2 #592,1736.9207674706802,,StarLightGreen,Rainbow Rare,PlasterYellow V2,EyesGreen,,BurnOrange,MushroomYellow,NormalBlue,,HoodieBlue,NoseRingPurple,SakuraPurple,FlowerBlue
1239,Oppa Bear Evolution Gen.2 #897,1736.9191036890202,QuestionGreen,PunkYellow,Rainbow Rare,IronMaskYellow,EyesRed,,HelicopterBlue,CloudBlue,Upset,TieGreen,WearLightGreen,PlasterWhite,BroochRed,CoolConePurple
1243,Oppa Bear Evolution Gen.2 #583,1733.7630552946869,,AbstractRed,Rainbow Rare,JapanTagGreen,EyesPink,,BoaterGreen,BombRed,Lovely,,UniformDressPink,SnotYellow,,FireOrange
1247,Oppa Bear Evolution Gen.2 #838,1731.70122823286,SunflowerYellow,DropYellow,Rainbow Rare,AirHeadRed,EyesPink,,PunkRed,IceCreamPink,Scary,,WearPurple,,GhostYellow,
1251,Oppa Bear Evolution Gen.2 #452,1727.2915559580315,RabbitOrange,ShadeRed,Rainbow Rare,KeyPurple,EyesRed,SquareYellow,,TopBlue,HappyBrown,BagYellow,SteamPunkPurple,,,RabbitYellow
1255,Oppa Bear Evolution Gen.2 #114,1719.522219997979,MusicBlue,ThunderRed,Rainbow Rare,KeyPurple,EyesGreen,,RingBlue,HeartRed,Upset,TieGreen,MarioRed,NoseRingBlue,BroochBlue,
1259,Oppa Bear Evolution Gen.2 #340,1719.4773015165233,RabbitOrange,AbstractRed,Rainbow Rare,PlasterRed,EyesPink,,BagBlue,RadiantPink,NormalBlue,,UniformPurple,,,HappySoulPink
1263,Oppa Bear Evolution Gen.2 #735,1717.128740831981,BombPurple,BoomYellow,Rainbow Rare,RingBlue V2,EyesRed,AngryRed,,HeartRed,Lovely,,SteamPunkPurple,,SakuraBlue,FlowerBlue
1267,Oppa Bear Evolution Gen.2 #567,1714.4021706287042,MusicBlue,GrainGreen,Rainbow Rare,,EyesGreen,,BoaterGreen,NinjaOrange,ExcitedPink,,PirateKingYellow,MoonGreen,,OppaTagYellow
1271,Oppa Bear Evolution Gen.2 #322,1712.0295432560765,WordOrange,MixRed,Rainbow Rare,HornBlue,EyesGreen,,HeadBandBlue,IceCreamPurple,NormalPurple,,UniformDressPurple,,CatBroochPurple,AvengersOrange
1275,Oppa Bear Evolution Gen.2 #508,1711.4601850780225,DollarYellow,BurnOrange,Rainbow Rare,HornRed,EyesGreen,,,NinjaBlue,NormalGreen,,WearLightGreen,RazorBeardYellow,24TagPurple,MilkPink
1278,Oppa Bear Evolution Gen.2 #928,1710.585562400331,BrokenWingYellow,DropGreen,Rainbow Rare,HeartRed,EyesGreen,,HeadBandYellow,BirdPink,NormalGreen,,SpaceShiftPurple,,MushroomOrange,IceCreamGreen
1282,Oppa Bear Evolution Gen.2 #518,1709.6152908418242,SunflowerOrange,HeartBlue,Rainbow Rare,HeartYellow,EyesGreen,,,HeartBlue,ExcitedPink,Bitcoin,SportsWearGreen,PlasterBlue,BearPurple,
1286,Oppa Bear Evolution Gen.2 #40,1709.2498667921893,BrokenWingYellow,StarLightYellow,Rainbow Rare,,EyesGreen,Matrix,,CloudRed,SurprisedPurple,ShawlBrown,RobotLight,,,FlowerBlue
1290,Oppa Bear Evolution Gen.2 #262,1708.2080723293423,,ThunderRed,Rainbow Rare,,EyesGreen,GreenRed,ClayRed,SprayOrange,HappyPurple,RibbonRed,WinterWearPurple,,BroochBlue,HappySoulBlue
1294,Oppa Bear Evolution Gen.2 #710,1707.7018869360102,ThunderBlue,VenomGreen,Rainbow Rare,TurtleLightGreen,EyesGreen,SleepGreen,,CaptainGreen,NormalBlue,,TuxedoGreen,CatFootPink,,LipYellow
1298,Oppa Bear Evolution Gen.2 #34,1706.9620784937101,,BoomYellow,Rainbow Rare,DollPetRed,EyesPink,BeamGreen,HeadBandPink,PooBlue,SurprisedPurple,ScarfBlue,PirateKingYellow,JellyPurple,,
1302,Oppa Bear Evolution Gen.2 #86,1706.8387214585882,RabbitPurple,PunkRed,Rainbow Rare,CherryRed,EyesPink,AngryRed,,MushroomYellow,SurprisedPurple,,ScottBlue,,SakuraBlue,SprayBlue
1306,Oppa Bear Evolution Gen.2 #723,1703.1006621322938,,LineBlue,Rainbow Rare,KeyOrange,EyesPink,CoolRed,,LollipopRed,ExcitedPink,,PirateKingYellow,MoonPurple,RocketRed,IceCreamGreen
1310,Oppa Bear Evolution Gen.2 #258,1702.941841262017,ThunderBlue,DropGreen,Rainbow Rare,PlasterYellow,EyesRed,PinkBlue V2,TopYellow,SprayGreen,HappyBrown,,SportsWearGreen,MoustacheBlue,,
1314,Oppa Bear Evolution Gen.2 #350,1700.8431973748293,BagYellow,AbstractRed,Rainbow Rare,RingPink V2,EyesPink,ScubaRed,DinosaurBlue,BirdYellow,Scary,DoraemonBlue,RobotBlue,,,FoxBlue
1318,Oppa Bear Evolution Gen.2 #327,1697.254126199302,,TonePink,Rainbow Rare,EarsBlue,EyesRed,PinkBlue V2,HairBlue V2,BirdPink,ExcitedBlack,,SuitGreen V2,StarOrange V2,,
1321,Oppa Bear Evolution Gen.2 #42,1696.0092599544357,DollarOrange,CircleGreen,Rainbow Rare,,EyesRed,BurnOrange,,Button,ExcitedBlack,,UniformDressPurple,,HeadBoneGreen,SprayRed
1325,Oppa Bear Evolution Gen.2 #441,1695.2708539167418,RabbitBlue,MixGreen,Rainbow Rare,,EyesGreen,SparklingBlue,BurnOrange,BlinkOrange,NormalBlue,,UniformDressPurple,,BroochRed,StarBlue
1329,Oppa Bear Evolution Gen.2 #761,1694.2586599079384,CameraBlue,BoomBlue,Rainbow Rare,,EyesPink,RadarRed,,SprayOrange,Upset,TuxedoBlue,UniformBlue,NoseRingBlue,GameoverRed,
1333,Oppa Bear Evolution Gen.2 #957,1692.592992126403,,ShadeRed,Rainbow Rare,RingsPurple,EyesRed,RadarRed,,CloudBlue,Lovely,ChainBlue,TuxedoPurple,WhiskerGreen,,ShieldPurple
1337,Oppa Bear Evolution Gen.2 #581,1692.3363100972751,,BurnBlue,Rainbow Rare,PlasterYellow V2,EyesRed,StarPink,StylishHairPink,RadiantPink,Lovely,ScarfYellow,MarioBlue,,,MilkPink
1341,Oppa Bear Evolution Gen.2 #32,1691.3465782960034,BagBlue,SmokeRed,Rainbow Rare,,EyesGreen,HeartPink,,RazorGunBlue,SurprisedGreen,BagBlue,SportsWearPurple,WhiskerGreen,24TagGreen,
1345,Oppa Bear Evolution Gen.2 #846,1691.2297290352099,BalloonPink,GrainGreen,Rainbow Rare,,EyesGreen,ScubaPurple,,BombYellow,HappyPurple,BagBlue,PirateKingYellow,StitchesDown,CatBroochGreen,
1349,Oppa Bear Evolution Gen.2 #415,1690.327853133334,BacktroopRed,BoomBlue,Rainbow Rare,HeartRed,EyesGreen,,MarioCapYellow,Button,HappyPurple,StarChainRed,AstronautGreen,,,CoolConePurple
1353,Oppa Bear Evolution Gen.2 #368,1689.890522432845,WordOrange,SmokePurple,Rainbow Rare,AirHeadYellow,EyesGreen,,BandBlue,RazorGunOrange,NormalGreen,TieGreen,UniformBlue,,,SprayRed
1357,Oppa Bear Evolution Gen.2 #402,1687.7247666699425,LookGreen,StarLightGreen,Rainbow Rare,AirHeadYellow,EyesRed,,BandBlue,BirdYellow,Lovely,StarChainRed,SpaceShiftGreen,,GameoverPurple,
1360,Oppa Bear Evolution Gen.2 #112,1687.570668797202,SicklePink,ThunderPink,Rainbow Rare,,EyesGreen,SmartPink,BurnGreen,OPPink,SurprisedPurple,,WinterWearPurple,JellyPink,,
1364,Oppa Bear Evolution Gen.2 #502,1687.5412215728534,WingYellow,HeartYellow,Rainbow Rare,DollPetRed,EyesPink,Duplex,RingBlue,ButterflyPink,ExcitedPink,,WearPurple,,,BearPurple
1368,Oppa Bear Evolution Gen.2 #944,1684.946638736335,BackpackRed,MixRed,Rainbow Rare,KeyOrange,EyesPink,BeamGreen,,SoulOrange,ExcitedBlack,,SteamPunkPurple,,GhostBlue,SmileYellow V2
1372,Oppa Bear Evolution Gen.2 #329,1683.7886374396958,RocketPurple,CirclePurple,Rainbow Rare,,EyesRed,SparklingPurple,,BlinkRed,Upset,,SuitRed V2,,SakuraPurple,ShieldTagYellow
1376,Oppa Bear Evolution Gen.2 #976,1682.5549365001123,RabbitOrange,AbstractRed,Rainbow Rare,EarringsBlue,EyesRed,EyePatch,HelicopterPurple,TopBlue,NormalPurple,,WinterWearPurple,,CatBroochGreen,
1380,Oppa Bear Evolution Gen.2 #946,1681.743248188424,RocketPurple,StarGreen,Rainbow Rare,TurtleLightGreen,EyesRed,GreenRed,,MushroomPink,NormalGreen,TuxedoBlue,WearPurple,,HappyPurpleCat,
1384,Oppa Bear Evolution Gen.2 #611,1679.303424345747,,FuturisticRed,Rainbow Rare,RingYellow V2,EyesGreen,,,SprayGreen,NormalPurple,StarChainRed,SpaceShiftGreen,StarRed,BlowPink,FireOrange
1388,Oppa Bear Evolution Gen.2 #455,1678.8299097365411,BrokenWingYellow,ThunderBlue,Rainbow Rare,HornPurple,EyesPink,HeartBlue,CapCute Orange,LittleGhost,HappyBrown,,UniformBlue,,,BalloonGreen
1392,Oppa Bear Evolution Gen.2 #594,1677.3543001984804,BulbYellow,CircleGreen,Rainbow Rare,SmokeLightGreen,EyesGreen,OPPurple,RingBlue,RadiantBlue,Upset,,ScotPink,SnotBlue,,
1396,Oppa Bear Evolution Gen.2 #110,1674.1115877341829,RabbitOrange,GrainGreen,Rainbow Rare,BowGreen,EyesRed,SquareBlue,BandYellow,LollipopYellow,NormalBlue,StarChainRed,SteamPunkPurple,,,
1400,Oppa Bear Evolution Gen.2 #236,1672.7758398957067,,MixGreen,Rainbow Rare,,EyesPink,RadarRed,BurnOrange,PooBlue,Scary,DoraemonBlue,ScottGreen,Whiskers,,
1403,Oppa Bear Evolution Gen.2 #835,1671.6615778881112,RabbitPurple,GrainGreen,Rainbow Rare,KeyYellow,EyesGreen,,,ConeTone,Scary,,SuitPink,MoonBlue,RocketPurple,
1407,Oppa Bear Evolution Gen.2 #569,1671.5520504972264,,FuturisticBlue,Rainbow Rare,EarPhoneBlue,EyesRed,CoolBlue,BandRed,GhostRed,Lovely,,SuitRed V2,,BearGreen,
1411,Oppa Bear Evolution Gen.2 #930,1666.9216082113044,,FuturisticBlue,Rainbow Rare,DollPetPurple,EyesPink,BurnOrange,,TopRed,SurprisedPurple,ScarfGreen,SteamPunkPurple,,SmallPetPink,SmileBlue
1415,Oppa Bear Evolution Gen.2 #92,1665.9136778631027,,PunkGreen,Rainbow Rare,,EyesGreen,CoolRed,HiphopRed V2,TopPink,SurprisedGreen,,SuitBlue,,CatBroochPurple,
1419,Oppa Bear Evolution Gen.2 #828,1665.6481468746802,BackpackBlue,GrainPurple,Rainbow Rare,CuteGhost,EyesGreen,StarYellow,,SprayOrange,SurprisedPurple,,UniformDressPurple,,GameoverRed,
1423,Oppa Bear Evolution Gen.2 #1000,1665.6214351606568,BagYellow,LineRed,Rainbow Rare,,EyesPink,RainbowPurple,BoaterRed,BearBlue,NormalBlue,,SuitRed,StarOrange V2,,OppaYellow
1427,Oppa Bear Evolution Gen.2 #24,1665.12479391449,GameCabinet,MixRed,Rainbow Rare,BroochBlue,EyesPink,,TopYellow,SoulPink,NormalGreen,,DressGreen,,BearBlue,
1431,Oppa Bear Evolution Gen.2 #428,1664.68479494576,Sword,StarRed,Rainbow Rare,,EyesRed,SleepGreen,CapCute Orange,OPPurple,Lovely,,SportsWearGreen,,CatBroochPurple,
1435,Oppa Bear Evolution Gen.2 #255,1661.6461954826757,WordBlue,FuturisticPurple,Rainbow Rare,,EyesRed,RazorGreen,,SprayGreen,NormalGreen,,RainbowSuit,CatFootPurple,,TickRed
1439,Oppa Bear Evolution Gen.2 #940,1661.039329765863,SkateboardBlue,HeartYellow,Rainbow Rare,BowPurple,EyesGreen,,,PooGreen,Lovely,,UniformBlue,,MicYellow,FacePink
1442,Oppa Bear Evolution Gen.2 #673,1655.48608671262,TagBlue,DropGreen,Rainbow Rare,SmokeYellow,EyesGreen,ScubaPurple,,ConeTone,SurprisedPurple,,SuitBlue,PlasterWhite,,
1446,Oppa Bear Evolution Gen.2 #600,1650.314591541125,RabbitPurple,CirclePurple,Rainbow Rare,RingBlue V2,EyesGreen,BeamYellow,HiphopYellow V2,BirdYellow,ExcitedBlack,,WearPurple,,,WingGreen
1450,Oppa Bear Evolution Gen.2 #689,1650.0017018164704,,BurnOrange,Rainbow Rare,,EyesGreen,SparklingYellow,BandRed,HeartPink,SurprisedPurple,DoubleChainGreen,HoodiePink,,,ShieldTagPurple
1454,Oppa Bear Evolution Gen.2 #623,1647.264246797658,BacktroopRed,LineRed,Rainbow Rare,,EyesRed,EyeLine,BagYellow,BlinkPink,NormalGreen,,UniformDressPink,,,StarPurple
1458,Oppa Bear Evolution Gen.2 #830,1646.4591086132396,BackpackRed,LineBlue,Rainbow Rare,PlasterRed,EyesRed,CoolYellow,,TopBlue,HappyGreen,,ScottBlue,,,FacePink
1462,Oppa Bear Evolution Gen.2 #189,1645.0940056181291,WingYellow,SmokeRed,Rainbow Rare,,EyesRed,OPPink,,CanGreen,HappyPurple,,WinterWearGreen,NoseRingYellow,24TagGreen,
1466,Oppa Bear Evolution Gen.2 #187,1644.730652808893,SunflowerYellow,StarGreen,Rainbow Rare,HeartYellow,EyesRed,,StylishHairGreen,CanBlue,HappyBrown,SoulChainBlue,SteamPunkPurple,,,SmileYellow V2
1470,Oppa Bear Evolution Gen.2 #2,1644.3428349921137,QuestionGreen,VenomRed,Rainbow Rare,IronMaskOrange,EyesPink,OPYellow,CapCute Blue,SoulPink,Upset,,SteamPunkRed,,,
1474,Oppa Bear Evolution Gen.2 #617,1641.5544010878123,CupGreen,PunkRed,Rainbow Rare,RingsPurple,EyesRed,HeartPurple,,RazorGunBlue,ExcitedPink,,TuxedoGreen,,GhostYellow,
1478,Oppa Bear Evolution Gen.2 #902,1641.3224725490056,WordOrange,StarLightGreen,Rainbow Rare,,EyesGreen,XO,CapCute Orange,OPPink,SurprisedPurple,,JacketBlue,,,WingGreen
1481,Oppa Bear Evolution Gen.2 #202,1639.96939375909,ThunderBlue,DropYellow,Rainbow Rare,BowYellow,EyesPink,,SantaPurple,NinjaOrange,Lovely,,DressGreen,,,FacePink
1485,Oppa Bear Evolution Gen.2 #779,1638.6697180686147,,StarLightPurple,Rainbow Rare,PlasterRed,EyesRed,,SantaPurple,ButterflyBlue,NormalGreen,,HoodieYellow,MiniHeartGreen,CatBroochBrown,FoxYellow
1489,Oppa Bear Evolution Gen.2 #296,1637.4371589687908,SignBlue,BurnBlue,Rainbow Rare,HeartYellow,EyesPink,,,SprayGreen,Scary,,UniformDressPurple,StarRed,HappyBluish GreenCat,
1493,Oppa Bear Evolution Gen.2 #374,1635.736844809678,ParrotPink,StarLightPurple,Rainbow Rare,BroochBlue,EyesGreen,WingPurple,TopYellow,IceCreamGreen,Scary,,DressGreen,MoustacheBlue,,
